,Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,status
45,2046,0.52,0.59,2,176,3,1,0,IT,low,1
46,2047,0.84,0.65,2,140,3,0,0,IT,low,1
47,2048,0.87,0.5,3,242,2,0,0,IT,low,1
48,2049,0.48,0.85,3,279,4,0,0,IT,low,1
49,2050,0.58,0.55,4,202,3,0,0,IT,medium,1
50,2051,0.58,0.84,5,228,3,0,0,product_mng,medium,1
51,2052,0.73,0.69,4,171,3,0,0,product_mng,medium,1
52,2053,0.68,0.54,4,153,3,0,0,product_mng,medium,1
53,2054,0.41,0.68,3,165,3,1,0,product_mng,medium,1
54,2055,0.85,0.6,3,182,3,0,0,IT,medium,1
55,2056,0.54,0.7,5,239,5,0,0,RandD,medium,1
56,2057,0.81,0.61,5,231,2,0,0,RandD,medium,1
57,2058,0.7,0.52,4,255,3,0,0,RandD,medium,1
58,2059,0.63,0.66,4,237,2,1,0,RandD,medium,1
59,2060,0.68,0.54,3,251,2,0,0,RandD,medium,1
60,2061,0.7,0.53,4,178,2,0,0,marketing,medium,1
61,2062,0.82,0.65,4,148,3,0,0,sales,high,1
62,2063,0.72,0.94,4,240,4,0,0,accounting,low,1
63,2064,0.77,0.78,3,269,3,0,0,support,medium,1
64,2065,0.86,0.91,4,147,3,0,0,technical,medium,1
65,2066,0.15,0.97,3,198,5,0,0,management,medium,1
66,2067,0.81,0.99,5,143,3,0,0,marketing,medium,1
67,2068,0.93,0.98,3,238,2,0,0,marketing,low,1
68,2069,0.62,0.74,4,213,4,0,0,marketing,low,1
69,2070,0.53,0.81,3,226,3,1,0,sales,low,1
70,2071,0.86,0.99,3,169,2,1,0,sales,low,1
71,2072,0.92,0.65,4,238,2,0,0,sales,low,1
72,2073,0.97,0.83,4,202,3,0,0,sales,low,1
73,2074,0.39,0.78,2,205,6,1,0,sales,low,1
74,2075,0.45,0.66,3,111,4,0,0,sales,low,1
75,2076,0.41,0.47,4,104,3,0,0,sales,low,1
76,2077,0.51,0.69,3,212,3,0,0,sales,low,1
77,2078,0.74,0.62,4,236,4,0,0,sales,low,1
78,2079,0.69,0.57,5,245,2,1,0,sales,low,1
79,2080,0.84,0.64,4,267,4,0,0,sales,low,1
80,2081,0.69,0.66,5,106,5,0,0,sales,low,1
81,2082,0.93,0.53,5,198,3,0,0,sales,low,1
82,2083,0.33,0.45,6,239,3,0,0,sales,low,1
83,2084,0.25,0.65,5,220,3,0,0,sales,low,1
84,2085,0.63,0.59,5,224,3,0,0,sales,low,1
85,2086,0.81,0.62,3,100,3,0,0,sales,low,1
86,2087,0.12,0.87,4,244,5,0,0,sales,low,1
87,2088,0.52,0.66,4,139,3,0,0,sales,low,1
88,2089,0.57,0.51,2,152,2,0,0,accounting,medium,1
89,2090,0.84,0.58,4,208,3,0,0,accounting,medium,1
90,2091,0.6,0.95,5,205,3,0,0,accounting,medium,1
91,2092,0.73,0.44,2,194,6,0,0,hr,medium,1
92,2093,0.2,0.58,3,209,5,0,0,hr,medium,1
93,2094,0.58,0.9,3,212,3,0,0,hr,medium,1
94,2095,0.48,0.56,2,151,3,0,0,hr,medium,1
95,2096,0.54,0.67,4,282,6,0,0,technical,medium,1
96,2097,0.86,1.0,4,256,3,0,0,technical,medium,1
97,2098,0.94,0.83,2,185,3,1,0,technical,medium,1
98,2099,0.76,0.74,5,132,3,0,0,technical,medium,1
99,2100,0.61,0.95,5,233,3,0,0,technical,medium,1
100,2101,0.56,0.94,4,215,2,0,0,technical,high,1
101,2102,1.0,0.74,3,220,4,0,0,technical,low,1
102,2103,0.15,0.53,6,222,3,0,0,technical,medium,1
103,2104,0.19,0.58,5,182,2,0,0,technical,medium,1
104,2105,0.17,0.73,5,258,4,0,0,technical,medium,1
105,2106,0.71,0.57,3,209,2,0,0,technical,medium,1
106,2107,0.86,0.79,3,242,2,0,0,support,low,1
107,2108,0.59,0.88,4,155,3,1,0,support,low,1
108,2109,0.74,0.76,5,104,4,0,0,support,low,1
109,2110,0.98,0.92,4,201,3,1,0,support,low,1
110,2111,0.93,0.75,5,143,3,0,0,support,low,1
111,2112,1.0,0.92,5,161,3,1,0,support,low,1
112,2113,0.59,0.81,4,200,2,0,0,support,low,1
113,2114,0.98,0.55,4,255,2,0,0,support,low,1
114,2115,0.35,0.5,5,227,2,0,0,support,low,1
115,2116,0.42,0.96,3,270,6,0,0,support,low,1
116,2117,0.61,0.85,5,230,3,0,0,support,low,1
117,2118,0.78,0.72,5,270,3,1,0,technical,low,1
118,2119,0.93,0.52,4,200,3,0,0,technical,low,1
119,2120,0.5,0.95,5,207,3,0,0,technical,low,1
120,2121,0.67,0.51,5,182,3,0,0,management,low,1
121,2122,0.75,0.85,4,234,3,0,0,IT,low,1
122,2123,0.79,0.51,4,237,2,0,0,IT,low,1
123,2124,0.84,0.89,4,187,2,1,0,IT,low,1
124,2125,0.72,0.5,3,257,6,0,0,IT,low,1
125,2126,0.57,0.48,2,194,2,0,0,IT,low,1
126,2127,0.73,0.52,4,162,3,0,0,product_mng,low,1
127,2128,0.74,0.58,4,148,2,0,0,product_mng,medium,1
128,2129,0.52,0.83,4,210,2,0,0,product_mng,medium,1
129,2130,0.56,0.76,3,213,2,1,0,product_mng,medium,1
130,2131,0.76,0.68,4,189,2,1,0,IT,medium,1
131,2132,0.82,0.93,4,185,2,0,0,RandD,medium,1
132,2133,0.76,0.83,3,186,2,1,0,RandD,medium,1
133,2134,0.62,0.59,3,128,3,0,0,RandD,medium,1
134,2135,0.48,0.8,4,268,3,0,0,RandD,medium,1
135,2136,0.64,0.77,3,213,3,1,0,RandD,medium,1
136,2137,0.74,0.82,4,142,2,0,0,marketing,medium,1
137,2138,0.52,0.43,2,199,2,0,0,sales,medium,1
138,2139,0.67,0.5,4,157,2,0,0,accounting,medium,1
139,2140,0.71,0.76,5,172,2,1,0,support,high,1
140,2141,0.72,0.63,3,176,3,1,0,technical,low,1
141,2142,0.33,0.58,2,183,2,0,0,management,medium,1
142,2143,0.91,0.56,4,270,2,0,0,marketing,medium,1
143,2144,0.88,0.68,5,157,4,1,0,marketing,medium,1
144,2145,0.96,0.6,4,185,3,0,0,marketing,medium,1
145,2146,0.97,0.68,3,167,3,0,0,sales,low,1
146,2147,0.27,0.59,5,226,5,0,0,sales,low,1
147,2148,0.65,0.64,3,223,4,0,0,sales,low,1
148,2149,0.68,0.73,3,257,3,0,0,sales,low,1
149,2150,0.68,0.46,4,143,3,0,0,sales,low,1
150,2151,0.69,0.74,3,215,2,0,0,sales,low,1
151,2152,0.79,0.99,3,194,4,0,0,sales,low,1
152,2153,0.74,0.92,5,193,3,0,0,sales,low,1
153,2154,0.8,0.83,3,163,3,0,0,sales,low,1
154,2155,0.38,0.94,5,252,5,0,0,sales,low,1
155,2156,0.26,0.83,3,168,3,0,0,sales,low,1
156,2157,0.81,0.86,3,231,3,0,0,sales,low,1
157,2158,0.67,0.54,2,141,2,0,0,sales,low,1
158,2159,0.55,0.81,4,260,2,0,0,sales,low,1
159,2160,0.87,0.71,3,132,2,0,0,sales,low,1
160,2161,0.46,0.69,2,159,2,0,0,sales,low,1
161,2162,0.63,0.57,4,177,3,1,0,sales,low,1
162,2163,0.54,0.96,4,248,3,0,0,sales,low,1
163,2164,1.0,0.49,3,185,2,0,0,sales,low,1
164,2165,0.97,0.66,4,149,2,0,0,accounting,low,1
165,2166,0.9,0.92,3,152,3,0,0,accounting,low,1
166,2167,0.75,0.7,3,129,3,0,0,accounting,medium,1
167,2168,0.92,0.84,4,208,2,0,0,hr,medium,1
168,2169,0.8,0.94,4,136,2,0,0,hr,medium,1
169,2170,0.57,0.81,3,142,2,0,0,hr,medium,1
170,2171,0.81,0.94,3,225,4,0,0,hr,medium,1
171,2172,0.64,0.6,3,143,3,0,0,technical,medium,1
172,2173,0.71,0.54,4,215,3,0,0,technical,medium,1
173,2174,0.35,0.58,3,229,6,1,0,technical,medium,1
174,2175,0.88,0.81,5,193,5,0,0,technical,medium,1
175,2176,0.13,0.59,5,160,5,0,0,technical,medium,1
176,2177,0.82,0.73,4,195,5,1,0,technical,medium,1
177,2178,0.17,0.92,4,189,2,0,0,technical,medium,1
178,2179,0.21,0.82,4,207,5,0,0,technical,high,1
179,2180,0.89,0.47,4,108,3,0,0,technical,low,1
180,2181,0.2,0.72,6,224,4,0,0,technical,medium,1
181,2182,0.99,0.81,5,180,3,1,0,technical,medium,1
182,2183,0.26,0.85,6,152,4,0,0,support,medium,1
183,2184,0.22,0.53,4,244,2,0,0,support,medium,1
184,2185,0.79,0.84,3,176,3,0,0,support,low,1
185,2186,0.73,0.79,4,145,2,1,0,support,low,1
186,2187,0.83,0.54,3,149,3,0,0,support,low,1
187,2188,0.42,0.54,3,122,4,0,0,support,low,1
188,2189,0.18,0.8,2,110,5,0,0,support,low,1
189,2190,0.92,0.91,4,222,2,0,0,support,low,1
190,2191,0.87,0.52,3,237,3,0,0,support,low,1
191,2192,0.72,0.65,4,224,3,0,0,support,low,1
192,2193,0.64,0.58,5,115,5,0,0,support,low,1
193,2194,1.0,0.66,4,180,3,0,0,technical,low,1
194,2195,0.83,0.65,4,162,3,0,0,technical,low,1
195,2196,0.98,0.58,4,136,3,0,0,technical,low,1
196,2197,0.7,0.87,3,260,2,0,0,management,low,1
197,2198,0.9,0.79,4,150,2,0,0,IT,low,1
198,2199,0.55,0.99,4,248,3,0,0,IT,low,1
199,2200,0.78,0.84,3,233,3,1,0,IT,low,1
200,2201,0.89,0.53,5,272,3,0,0,IT,low,1
201,2202,0.17,0.59,3,197,5,0,0,IT,low,1
202,2203,0.14,0.64,5,164,5,0,0,product_mng,low,1
203,2204,0.85,0.57,4,216,2,0,0,product_mng,low,1
204,2205,0.84,0.79,4,266,3,1,0,product_mng,low,1
205,2206,0.7,0.69,3,102,4,1,0,product_mng,medium,1
206,2207,0.16,0.98,5,284,5,0,0,IT,medium,1
207,2208,0.51,0.69,3,145,2,1,0,RandD,medium,1
208,2209,0.6,0.89,3,167,4,0,0,RandD,medium,1
209,2210,0.5,0.63,3,172,2,0,0,RandD,medium,1
210,2211,0.43,0.39,5,198,5,0,0,RandD,medium,1
211,2212,0.5,0.7,4,201,4,0,0,RandD,medium,1
212,2213,0.91,0.89,4,197,4,0,0,marketing,medium,1
213,2214,0.65,0.93,4,270,2,0,0,sales,medium,1
214,2215,0.59,0.52,2,149,3,0,0,accounting,medium,1
215,2216,0.89,0.56,3,256,3,0,0,support,medium,1
216,2217,0.97,0.6,3,162,3,0,0,technical,medium,1
217,2218,0.56,0.97,5,163,2,0,0,management,high,1
218,2219,0.76,0.93,3,266,3,1,0,marketing,low,1
219,2220,0.28,0.55,4,208,4,0,0,marketing,medium,1
220,2221,0.75,0.51,4,138,4,0,0,marketing,medium,1
221,2222,0.78,0.81,4,232,3,0,0,sales,medium,1
222,2223,0.26,0.63,6,100,4,0,0,sales,medium,1
223,2224,0.53,0.72,2,172,5,0,0,sales,low,1
224,2225,0.25,0.41,3,133,6,1,0,sales,low,1
225,2226,0.82,0.51,3,234,3,0,0,sales,low,1
226,2227,0.71,0.57,2,183,4,0,0,sales,low,1
227,2228,0.61,0.95,4,174,4,0,0,sales,low,1
228,2229,0.89,0.68,3,175,2,0,0,sales,low,1
229,2230,0.57,0.78,3,109,3,1,0,sales,low,1
230,2231,0.93,0.8,4,248,3,0,0,sales,low,1
231,2232,0.61,0.84,5,104,4,0,0,sales,low,1
232,2233,0.56,0.62,3,154,2,0,0,sales,low,1
233,2234,0.7,0.89,6,214,2,0,0,sales,low,1
234,2235,0.9,0.64,4,209,4,0,0,sales,low,1
235,2236,0.15,0.74,6,212,2,0,0,sales,low,1
236,2237,0.39,0.36,3,168,3,1,0,sales,low,1
237,2238,0.74,0.72,4,176,3,0,0,sales,low,1
238,2239,0.7,0.61,4,163,4,1,0,sales,low,1
239,2240,0.72,0.93,4,148,2,0,0,sales,low,1
240,2241,0.61,0.97,3,137,3,0,0,accounting,low,1
241,2242,0.96,1.0,5,162,3,0,0,accounting,low,1
242,2243,0.7,0.59,4,216,3,0,0,accounting,low,1
243,2244,0.92,0.49,3,240,2,0,0,hr,low,1
244,2245,0.72,0.56,4,176,2,0,0,hr,medium,1
245,2246,0.53,0.75,6,192,6,0,0,hr,medium,1
246,2247,0.67,0.85,3,160,4,0,0,hr,medium,1
247,2248,0.78,0.8,4,194,2,1,0,technical,medium,1
248,2249,0.53,0.75,4,239,2,1,0,technical,medium,1
249,2250,0.9,0.48,4,204,3,0,0,technical,medium,1
250,2251,0.16,0.9,5,258,3,0,0,technical,medium,1
251,2252,0.62,0.38,3,257,3,0,0,technical,medium,1
252,2253,0.62,0.98,4,137,3,0,0,technical,medium,1
253,2254,0.22,0.52,6,175,4,0,0,technical,medium,1
254,2255,0.91,0.82,3,183,3,0,0,technical,medium,1
255,2256,0.87,0.74,4,190,4,0,0,technical,medium,1
256,2257,0.95,0.69,3,225,2,0,0,technical,high,1
257,2258,0.99,0.75,3,215,3,0,0,technical,low,1
258,2259,0.99,0.57,3,176,4,1,0,support,medium,1
259,2260,0.77,0.99,4,153,3,1,0,support,medium,1
260,2261,0.75,0.68,3,150,2,1,0,support,medium,1
261,2262,0.83,0.54,4,259,5,0,0,support,medium,1
262,2263,0.61,0.39,3,99,2,0,0,support,low,1
263,2264,0.91,0.97,3,167,2,0,0,support,low,1
264,2265,0.47,0.64,3,192,3,0,0,support,low,1
265,2266,0.77,0.61,5,146,3,0,0,support,low,1
266,2267,0.55,0.51,3,190,3,0,0,support,low,1
267,2268,0.32,0.48,5,246,3,0,0,support,low,1
268,2269,0.96,0.67,6,190,3,0,0,support,low,1
269,2270,0.72,0.79,5,260,2,0,0,technical,low,1
270,2271,0.8,0.9,4,136,3,0,0,technical,low,1
271,2272,0.61,0.55,4,231,3,0,0,technical,low,1
272,2273,0.97,0.88,3,204,2,0,0,management,low,1
273,2274,0.63,0.93,4,201,3,0,0,IT,low,1
274,2275,0.92,0.92,3,159,3,0,0,IT,low,1
275,2276,0.94,0.74,5,171,3,0,0,IT,low,1
276,2277,0.79,0.72,6,240,4,0,0,IT,low,1
277,2278,0.75,0.73,2,152,4,0,0,IT,low,1
278,2279,0.78,0.99,3,151,3,1,0,product_mng,low,1
279,2280,0.96,0.45,6,232,2,1,0,product_mng,low,1
280,2281,0.65,0.68,4,128,5,0,0,product_mng,low,1
281,2282,0.18,0.94,3,187,6,1,0,product_mng,low,1
282,2283,0.94,0.51,3,160,2,0,0,IT,low,1
283,2284,0.84,0.79,4,259,3,0,0,RandD,medium,1
284,2285,0.67,0.54,2,136,2,0,0,RandD,medium,1
285,2286,0.71,0.5,4,253,3,0,0,RandD,medium,1
286,2287,0.56,0.64,3,260,3,0,0,RandD,medium,1
287,2288,0.29,0.56,5,231,6,0,0,RandD,medium,1
288,2289,0.47,0.9,3,101,2,1,0,marketing,medium,1
289,2290,0.4,0.69,2,174,3,0,0,sales,medium,1
290,2291,0.81,0.82,4,167,2,0,0,accounting,medium,1
291,2292,0.96,0.99,3,148,3,0,0,support,medium,1
292,2293,0.99,0.75,6,139,5,1,0,technical,medium,1
293,2294,0.75,0.77,4,136,3,0,0,management,medium,1
294,2295,0.75,0.74,4,153,2,0,0,marketing,medium,1
295,2296,1.0,0.86,4,161,2,0,0,marketing,high,1
296,2297,0.52,0.53,2,163,2,0,0,marketing,low,1
297,2298,0.98,0.74,3,164,3,0,0,sales,medium,1
298,2299,0.6,0.64,2,137,5,0,0,sales,medium,1
299,2300,0.38,0.44,3,137,3,0,0,sales,medium,1
300,2301,0.51,0.41,6,106,5,0,0,sales,medium,1
301,2302,0.91,0.61,2,272,2,0,0,sales,low,1
302,2303,0.56,0.62,5,238,3,0,0,sales,low,1
303,2304,0.58,0.69,4,223,4,0,0,sales,low,1
304,2305,0.51,0.53,3,201,2,0,0,sales,low,1
305,2306,0.91,0.55,6,97,4,0,0,sales,low,1
306,2307,0.8,0.98,2,232,6,1,0,sales,low,1
307,2308,0.55,0.83,4,199,3,0,0,sales,low,1
308,2309,0.62,0.53,3,141,3,0,0,sales,low,1
309,2310,0.62,0.6,3,171,2,0,0,sales,low,1
310,2311,0.87,0.58,4,212,3,0,0,sales,low,1
311,2312,0.65,0.5,5,270,2,0,0,sales,low,1
312,2313,0.51,0.64,3,267,2,0,0,sales,low,1
313,2314,0.98,0.77,3,134,2,1,0,sales,low,1
314,2315,0.13,0.43,4,165,5,0,0,sales,low,1
315,2316,0.78,0.76,5,168,4,1,0,sales,low,1
316,2317,0.6,0.98,3,262,2,0,0,accounting,low,1
317,2318,0.68,0.69,3,185,2,0,0,accounting,low,1
318,2319,0.55,0.84,3,237,3,0,0,accounting,low,1
319,2320,0.99,0.79,4,192,3,0,0,hr,low,1
320,2321,0.92,0.68,5,236,2,0,0,hr,low,1
321,2322,1.0,0.65,4,202,4,1,0,hr,low,1
322,2323,0.77,0.93,4,171,2,0,0,hr,medium,1
323,2324,0.86,0.7,5,160,3,0,0,technical,medium,1
324,2325,0.89,0.84,2,252,3,0,0,technical,medium,1
325,2326,0.58,0.55,5,206,3,0,0,technical,medium,1
326,2327,0.56,0.66,3,212,2,0,0,technical,medium,1
327,2328,0.38,0.64,3,111,3,0,0,technical,medium,1
328,2329,0.62,0.64,3,240,2,0,0,technical,medium,1
329,2330,0.66,0.77,2,171,2,0,0,technical,medium,1
330,2331,0.3,0.44,3,129,2,0,0,technical,medium,1
331,2332,0.82,0.83,3,271,2,0,0,technical,medium,1
332,2333,0.96,0.68,4,162,2,0,0,technical,medium,1
333,2334,0.66,0.95,3,191,3,0,0,technical,medium,1
334,2335,0.79,0.5,5,176,3,0,0,support,high,1
335,2336,0.97,0.77,3,182,2,1,0,support,low,1
336,2337,0.59,0.65,3,226,3,0,0,support,medium,1
337,2338,0.57,0.48,4,161,3,0,0,support,medium,1
338,2339,0.64,0.53,4,163,3,0,0,support,medium,1
339,2340,0.14,0.51,5,173,4,0,0,support,medium,1
340,2341,0.48,0.55,3,228,2,0,0,support,low,1
341,2342,0.78,1.0,3,139,3,0,0,support,low,1
342,2343,0.96,0.62,5,128,5,0,0,support,low,1
343,2344,0.82,0.97,3,115,2,1,0,support,low,1
344,2345,0.94,0.9,5,191,4,0,0,support,low,1
345,2346,0.95,0.66,4,183,3,0,0,technical,low,1
346,2347,0.59,0.43,3,173,3,0,0,technical,low,1
347,2348,0.69,0.89,4,174,2,0,0,technical,low,1
348,2349,0.74,0.72,3,213,3,0,0,management,low,1
349,2350,0.67,0.67,4,192,4,0,0,IT,low,1
350,2351,0.83,0.52,3,167,2,1,0,IT,low,1
351,2352,0.81,0.85,3,263,3,1,0,IT,low,1
352,2353,0.54,0.73,2,100,3,0,0,IT,low,1
353,2354,0.89,0.83,3,164,3,0,0,IT,low,1
354,2355,0.79,0.74,5,172,2,0,0,product_mng,low,1
355,2356,0.46,0.58,4,171,3,0,0,product_mng,low,1
356,2357,0.99,0.93,4,236,3,0,0,product_mng,low,1
357,2358,0.75,0.9,5,186,4,0,0,product_mng,low,1
358,2359,0.93,0.82,4,175,3,0,0,IT,low,1
359,2360,0.65,0.6,5,227,3,0,0,RandD,low,1
360,2361,0.19,0.63,4,142,6,0,0,RandD,low,1
361,2362,0.48,0.61,2,121,2,0,0,RandD,medium,1
362,2363,0.95,0.64,5,234,3,0,0,RandD,medium,1
363,2364,0.92,0.77,4,185,3,0,0,RandD,medium,1
364,2365,0.84,0.54,4,160,3,0,0,marketing,medium,1
365,2366,0.37,0.63,4,153,3,1,0,sales,medium,1
366,2367,0.22,0.74,3,199,6,0,0,accounting,medium,1
367,2368,0.64,0.54,3,166,2,0,0,support,medium,1
368,2369,0.72,0.88,2,247,3,0,0,technical,medium,1
369,2370,0.48,0.69,4,245,3,0,0,management,medium,1
370,2371,0.12,0.55,5,242,4,0,0,marketing,medium,1
371,2372,0.78,0.98,5,158,2,0,0,marketing,medium,1
372,2373,0.71,0.74,3,163,3,1,0,marketing,medium,1
373,2374,0.38,0.69,3,99,3,1,0,sales,high,1
374,2375,0.57,0.85,4,164,3,0,0,sales,low,1
375,2376,0.72,0.51,3,160,3,0,0,sales,medium,1
376,2377,0.6,0.57,2,184,3,0,0,sales,medium,1
377,2378,0.61,0.55,5,266,2,0,0,sales,medium,1
378,2379,0.67,0.64,4,190,2,0,0,sales,medium,1
379,2380,0.97,0.97,5,192,2,0,0,sales,low,1
380,2381,0.22,0.6,3,205,6,1,0,sales,low,1
381,2382,0.15,0.53,4,205,5,1,0,sales,low,1
382,2383,0.6,0.6,3,258,3,0,0,sales,low,1
383,2384,0.15,0.8,5,151,2,1,0,sales,low,1
384,2385,0.5,0.81,3,148,2,0,0,sales,low,1
385,2386,0.9,0.67,3,179,2,0,0,sales,low,1
386,2387,0.84,0.51,6,141,2,1,0,sales,low,1
387,2388,0.74,0.78,5,216,2,0,0,sales,low,1
388,2389,0.72,0.51,3,235,2,0,0,sales,low,1
389,2390,0.93,0.63,3,160,4,1,0,sales,low,1
390,2391,0.54,0.69,3,141,4,0,0,sales,low,1
391,2392,0.87,0.65,4,246,2,1,0,sales,low,1
392,2393,0.19,0.98,5,226,4,1,0,accounting,low,1
393,2394,0.33,0.4,4,212,2,1,0,accounting,low,1
394,2395,0.94,0.93,4,220,3,0,0,accounting,low,1
395,2396,0.77,0.49,4,266,2,0,0,hr,low,1
396,2397,0.48,0.82,3,183,2,0,0,hr,low,1
397,2398,0.7,0.74,5,263,3,1,0,hr,low,1
398,2399,0.54,0.93,4,161,4,1,0,hr,low,1
399,2400,0.61,0.98,4,199,2,0,0,technical,low,1
400,2401,0.97,0.4,4,258,4,1,0,technical,medium,1
401,2402,0.6,0.85,3,209,2,1,0,technical,medium,1
402,2403,0.93,0.84,5,135,3,0,0,technical,medium,1
403,2404,0.48,0.69,4,222,2,0,0,technical,medium,1
404,2405,0.16,0.76,5,192,3,0,0,technical,medium,1
405,2406,0.18,0.75,3,250,3,0,0,technical,medium,1
406,2407,0.84,0.75,3,187,3,1,0,technical,medium,1
407,2408,0.69,0.63,4,217,3,0,0,technical,medium,1
408,2409,0.22,0.88,4,213,3,1,0,technical,medium,1
409,2410,0.83,0.52,4,273,3,0,0,technical,medium,1
410,2411,0.58,0.5,2,132,3,0,0,support,medium,1
411,2412,0.61,0.62,4,140,3,1,0,support,medium,1
412,2413,0.67,0.5,4,173,2,1,0,support,high,1
413,2414,0.56,0.76,4,189,2,0,0,support,low,1
414,2415,0.74,0.74,3,156,3,0,0,support,medium,1
415,2416,0.92,0.97,4,238,5,1,0,support,medium,1
416,2417,0.81,0.68,5,230,2,0,0,support,medium,1
417,2418,0.48,0.49,4,242,2,1,0,support,medium,1
418,2419,0.73,0.72,4,197,3,0,0,support,low,1
419,2420,0.97,0.66,6,164,5,0,0,support,low,1
420,2421,0.15,0.51,6,248,5,0,0,support,low,1
421,2422,0.69,0.76,5,255,6,0,0,technical,low,1
422,2423,0.61,0.68,5,225,4,0,0,technical,low,1
423,2424,0.86,0.58,3,151,2,0,0,technical,low,1
424,2425,0.55,0.88,4,252,3,0,0,management,low,1
425,2426,0.9,0.74,4,206,4,1,0,IT,low,1
426,2427,0.65,0.4,2,141,2,0,0,IT,low,1
427,2428,0.81,0.92,5,259,3,0,0,IT,low,1
428,2429,0.65,0.86,5,250,3,0,0,IT,low,1
429,2430,0.47,0.86,4,169,6,0,0,IT,low,1
430,2431,0.93,0.53,3,200,3,1,0,product_mng,low,1
431,2432,0.77,0.9,4,104,5,0,0,product_mng,low,1
432,2433,0.87,0.82,6,176,3,0,0,product_mng,low,1
433,2434,0.87,0.84,5,137,2,0,0,product_mng,low,1
434,2435,0.65,0.75,2,151,3,0,0,IT,low,1
435,2436,0.21,0.7,6,130,6,1,0,RandD,low,1
436,2437,0.75,0.59,4,199,2,0,0,RandD,low,1
437,2438,0.72,0.86,4,191,2,0,0,RandD,low,1
438,2439,0.88,0.63,3,273,3,1,0,RandD,low,1
439,2440,0.66,0.58,3,205,3,0,0,RandD,medium,1
440,2441,0.8,0.75,3,181,3,0,0,marketing,medium,1
441,2442,0.22,0.55,4,261,3,1,0,sales,medium,1
442,2443,0.92,0.69,3,192,3,0,0,accounting,medium,1
443,2444,0.54,0.77,4,271,3,0,0,support,medium,1
444,2445,0.91,0.56,4,158,3,0,0,technical,medium,1
445,2446,0.77,0.83,4,231,2,0,0,management,medium,1
446,2447,0.61,0.51,3,156,3,1,0,marketing,medium,1
447,2448,0.48,0.9,4,201,4,0,0,marketing,medium,1
448,2449,0.25,0.69,3,187,4,0,0,marketing,medium,1
449,2450,0.91,0.7,3,132,4,0,0,sales,medium,1
450,2451,0.72,0.58,5,147,3,1,0,sales,medium,1
451,2452,0.77,0.71,4,223,3,0,0,sales,high,1
452,2453,0.41,0.4,2,194,2,0,0,sales,low,1
453,2454,0.51,0.49,4,234,2,0,0,sales,medium,1
